,Unnamed: 0,job_id,mat,is_bpe,v_size,freq_cutoff,sim_cutoff,tkz_path,p_ratio,m_ratio,ulength_mean,ulength_std,util10,util30,util50,used_ulength_mean,used_ulength_std,used_p_ratio,used_m_ratio
66,66,66,blosum62,False,25600,0.05,0.9,hf_uniref50_mutbpe_0.9_3_12_0.05_25600.json,0.2148046875,0.3077734375,3.9358984375,1.446330232312628,0.94921875,0.8539453125,0.6728125,2.8110468348014988,0.918616095998121,0.118797587052853,0.0796089855714359
67,67,67,blosum62,False,6400,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_6400.json,0.161875,0.21546875,3.45328125,0.8109300892107997,0.99,0.974375,0.95921875,2.44263255396994,0.7013629394499442,0.0686848491138044,0.0465911223671921
68,68,68,blosum62,False,3200,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_3200.json,0.19,0.560625,3.036875,0.6072523943629359,0.99875,0.9984375,0.9984375,2.25738637146246,0.6178445507669311,0.1180972592431991,0.1182093892282773
69,69,69,blosum62,False,51200,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_51200.json,0.0958936207603538,0.8886220295628063,4.097358092671783,1.246886089008577,0.9156854704860096,0.5269169937320602,0.3317126510846855,3.0131530528892183,0.9659720522098152,0.1601294986014837,0.5359098227347618
70,70,70,blosum62,False,51200,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_51200.json,0.217495752036093,0.3544071404855374,4.277240678892991,1.883634123442852,0.8278744555770395,0.532391945469815,0.3338020741782387,3.013784312304563,1.0642805435196334,0.1466254220674316,0.0949751840423775
71,71,71,blosum62,False,800,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_800.json,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.0175214196496717,0.0119282440089395
72,72,72,blosum62,False,1600,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_1600.json,0.103125,0.675,2.82875,0.5686611884215509,0.9975,0.996875,0.996875,2.07606755738786,0.6216267740251767,0.0573907689235715,0.1598495730370985
73,73,73,blosum62,False,51200,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_51200.json,0.2175,0.3548828125,4.2790625,1.8871601327569731,0.82734375,0.5325390625,0.33376953125,3.013529806599523,1.0643455963019666,0.1466202588334515,0.0949581741094632
74,74,74,blosum62,False,51200,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_51200.json,0.1656674152914754,0.7953324870618104,4.117000292940142,1.2411710796159416,0.8496435894932135,0.5324675324675324,0.3340884679230544,2.9888871116865405,0.9764944264390768,0.228336068483772,0.3471652962094976
75,75,75,blosum62,False,51200,0.05,0.8,hf_uniref50_mutbpe_0.8_3_12_0.05_51200.json,0.1556940023045524,0.8102064332168037,4.122121750678671,1.218304439079628,0.8105384450129876,0.5201062437747789,0.3341405777005253,2.969483406135691,0.9635247909936632,0.2271433568038507,0.3425945734975437
