,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,same_count_pos,same_count_neg,sibling_count_pos,sibling_count_neg
132,132,pam250,hf_uniref50_mutbpe_0.9_3_12_0.005_51200.json,False,51200,0.005,0.9,93749,61172,6740,3297
133,133,pam250,hf_uniref50_mutbpe_0.8_3_12_0.2_25600.json,False,25600,0.2,0.8,95964,62708,12354,6170
134,134,pam250,hf_uniref50_mutbpe_0.9_3_12_0.05_1600.json,False,1600,0.05,0.9,107411,71904,2594,1213
135,135,pam250,hf_uniref50_mutbpe_0.8_3_12_0.1_3200.json,False,3200,0.1,0.8,106566,69848,8602,4263
136,136,pam250,hf_uniref50_mutbpe_0.9_3_12_0.05_51200.json,False,51200,0.05,0.9,94248,61392,6811,3277
137,137,pam250,hf_uniref50_mutbpe_0.8_3_12_0.1_6400.json,False,6400,0.1,0.8,104437,68462,10209,5124
138,138,pam250,hf_uniref50_mutbpe_0.8_3_12_0.1_12800.json,False,12800,0.1,0.8,99512,65365,11965,5988
139,139,pam250,hf_uniref50_mutbpe_0.9_3_12_0.1_800.json,False,800,0.1,0.9,110602,74066,1606,747
140,140,pam250,hf_uniref50_mutbpe_0.8_3_12_0.2_6400.json,False,6400,0.2,0.8,105017,69290,9352,4720
141,141,pam250,hf_uniref50_mutbpe_0.9_3_12_0.2_12800.json,False,12800,0.2,0.9,98440,65108,5000,2391
142,142,pam250,hf_uniref50_mutbpe_0.9_3_12_0_25600.json,False,25600,0,0.9,95145,62612,5967,2915
143,143,pam250,hf_uniref50_mutbpe_0.8_3_12_0.2_3200.json,False,3200,0.2,0.8,107383,70965,7885,3880
144,144,pam250,hf_uniref50_mutbpe_0.8_3_12_0.005_25600.json,False,25600,0.005,0.8,95834,62799,13275,6699
145,145,pam250,hf_uniref50_mutbpe_0.9_3_12_0.1_25600.json,False,25600,0.1,0.9,94921,62418,6068,2902
146,146,pam250,hf_uniref50_mutbpe_0.9_3_12_0.1_6400.json,False,6400,0.1,0.9,105048,69862,4184,2012
147,147,pam250,hf_uniref50_mutbpe_0.9_3_12_0.005_1600.json,False,1600,0.005,0.9,107327,71876,2557,1170
148,148,pam250,hf_uniref50_mutbpe_0.9_3_12_0.2_800.json,False,800,0.2,0.9,110483,73997,1552,724
149,149,pam250,hf_uniref50_mutbpe_0.9_3_12_0_1600.json,False,1600,0,0.9,107327,71876,2557,1169
150,150,pam250,hf_uniref50_mutbpe_0.9_3_12_0.1_3200.json,False,3200,0.1,0.9,108480,72520,3424,1612
151,151,pam250,hf_uniref50_mutbpe_0.8_3_12_0_1600.json,False,1600,0,0.8,105611,69924,6218,2970
152,152,pam250,hf_uniref50_mutbpe_0.9_3_12_0.005_12800.json,False,12800,0.005,0.9,99230,65553,5069,2434
153,153,pam250,hf_uniref50_mutbpe_0.9_3_12_0.2_3200.json,False,3200,0.2,0.9,108815,72591,3319,1574
154,154,pam250,hf_uniref50_mutbpe_0.8_3_12_0_12800.json,False,12800,0,0.8,101097,66470,11314,5809
155,155,pam250,hf_uniref50_mutbpe_0.9_3_12_0.2_6400.json,False,6400,0.2,0.9,104490,69465,4062,1985
156,156,pam250,hf_uniref50_mutbpe_0.9_3_12_0.05_12800.json,False,12800,0.05,0.9,98625,65012,5199,2457
157,157,pam250,hf_uniref50_mutbpe_0.8_3_12_0.1_51200.json,False,51200,0.1,0.8,94490,60975,14861,7386
158,158,pam250,hf_uniref50_mutbpe_0.9_3_12_0.005_800.json,False,800,0.005,0.9,110789,74189,1568,702
159,159,pam250,hf_uniref50_mutbpe_0.9_3_12_0.2_51200.json,False,51200,0.2,0.9,94642,61546,6436,3034
160,160,pam250,hf_uniref50_mutbpe_0.8_3_12_0.1_25600.json,False,25600,0.1,0.8,95428,62257,13693,6810
161,161,pam250,hf_uniref50_mutbpe_0.8_3_12_0.005_1600.json,False,1600,0.005,0.8,105354,69746,6290,2998
162,162,pam250,hf_uniref50_mutbpe_0.8_3_12_0.2_800.json,False,800,0.2,0.8,108163,72176,3797,1724
163,163,pam250,hf_uniref50_mutbpe_0.8_3_12_0.2_12800.json,False,12800,0.2,0.8,99131,65266,10933,5477
164,164,pam250,hf_uniref50_mutbpe_0.8_3_12_0.005_12800.json,False,12800,0.005,0.8,100469,66251,11434,5854
165,165,pam250,hf_uniref50_mutbpe_0.9_3_12_0.1_12800.json,False,12800,0.1,0.9,98564,64980,5196,2453
166,166,pam250,hf_uniref50_mutbpe_0.9_3_12_0_12800.json,False,12800,0,0.9,99338,65591,5060,2432
167,167,pam250,hf_uniref50_mutbpe_0.9_3_12_0.2_25600.json,False,25600,0.2,0.9,95068,62643,5790,2758
168,168,pam250,hf_uniref50_mutbpe_0.8_3_12_0.05_1600.json,False,1600,0.05,0.8,105367,69962,6466,3130
169,169,pam250,hf_uniref50_mutbpe_0.8_3_12_0.1_1600.json,False,1600,0.1,0.8,105088,69575,6649,3242
170,170,pam250,hf_uniref50_mutbpe_0.9_3_12_0.05_3200.json,False,3200,0.05,0.9,108325,72476,3417,1608
171,171,pam250,hf_uniref50_mutbpe_0.9_3_12_0.05_800.json,False,800,0.05,0.9,110653,74093,1613,744
172,172,pam250,hf_uniref50_mutbpe_0.9_3_12_0.05_6400.json,False,6400,0.05,0.9,105330,70113,4145,2014
173,173,pam250,hf_uniref50_mutbpe_0.8_3_12_0.05_12800.json,False,12800,0.05,0.8,99010,65299,11784,5969
174,174,pam250,hf_uniref50_mutbpe_0.8_3_12_0.2_1600.json,False,1600,0.2,0.8,106102,70208,6079,2993
175,175,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.05_800.json,False,800,0.05,0.8,110295,73218,1225,411
176,176,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.05_12800.json,False,12800,0.05,0.7,98334,64063,8769,3855
177,177,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.005_6400.json,False,6400,0.005,0.8,105198,70168,3869,1394
178,178,blosum45,hf_uniref50_mutbpe_0.9_3_12_0_800.json,False,800,0,0.9,113015,75812,7,1
179,179,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.05_25600.json,False,25600,0.05,0.8,95896,62886,5879,2149
180,180,blosum45,hf_uniref50_mutbpe_0.8_3_12_0_1600.json,False,1600,0,0.8,107244,71214,2125,718
