,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,p_ratio,m_ratio,ulength_mean,ulength_std,util10,util30,util50,used_ulength_mean,used_ulength_std,used_p_ratio,used_m_ratio
71,71,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_800.json,False,800,0.005,0.9,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.01752141964967172,0.011928244008939597
72,72,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_1600.json,False,1600,0.1,0.7,0.103125,0.675,2.82875,0.5686611884215509,0.9975,0.996875,0.996875,2.07606755738786,0.6216267740251767,0.057390768923571554,0.15984957303709854
73,73,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_51200.json,False,51200,0,0.9,0.2175,0.3548828125,4.2790625,1.8871601327569734,0.82734375,0.5325390625,0.33376953125,3.013529806599523,1.0643455963019666,0.14662025883345156,0.09495817410946321
74,74,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_51200.json,False,51200,0.1,0.8,0.16566741529147544,0.7953324870618104,4.117000292940142,1.2411710796159416,0.8496435894932135,0.5324675324675324,0.3340884679230544,2.9888871116865405,0.9764944264390767,0.228336068483772,0.3471652962094976
75,75,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_51200.json,False,51200,0.05,0.8,0.15569400230455246,0.8102064332168037,4.122121750678671,1.218304439079628,0.8105384450129876,0.5201062437747789,0.33414057770052535,2.969483406135691,0.9635247909936631,0.22714335680385078,0.34259457349754374
76,76,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_3200.json,False,3200,0,0.7,0.10125,0.7853125,3.0975,0.7483607176196174,0.9615625,0.93125,0.9146875,2.217198826228553,0.6243154399246396,0.07731540968860504,0.21879521472277055
77,77,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_51200.json,False,51200,0.2,0.9,0.2027734375,0.26177734375,4.291953125,2.5778372185300555,0.915859375,0.53310546875,0.33373046875,3.049259802627816,1.1566118219443584,0.1378056419419681,0.09389229495984956
78,78,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_1600.json,False,1600,0.2,0.7,0.120625,0.654375,2.7925,0.5131845174672606,0.9975,0.996875,0.996875,2.090515415583099,0.6097889141796464,0.06312139892751713,0.15969172329817066
79,79,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_800.json,False,800,0.005,0.7,0.0575,0.535,2.635,0.66507737135416,0.995,0.99125,0.98625,1.8794259886790645,0.5802164808785777,0.027598475455506425,0.08160074453550288
80,80,blosum62,hf_uniref50_bpe_25600.json,True,25600,,,0.0,0.0,3.935,1.5175811223742985,0.9956640625,0.99359375,0.6744921875,2.844670567403425,0.9389069423435866,0.0,0.0
81,81,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_6400.json,False,6400,0,0.7,0.0915625,0.85078125,3.564375,1.206035085817639,0.9121875,0.85703125,0.82140625,2.3639410860104544,0.6678228473776027,0.0947202574882692,0.2805484447138842
82,82,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_800.json,False,800,0.1,0.9,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.01752141964967172,0.011928244008939597
83,83,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_12800.json,False,12800,0.2,0.8,0.19359375,0.701796875,3.6634375,0.6302582540779187,0.999609375,0.98578125,0.89984375,2.601677237840896,0.7724510451920285,0.17266810448276662,0.2130520321901163
84,84,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_25600.json,False,25600,0.2,0.7,0.0981640625,0.88140625,3.8641015625,1.0022477440670152,0.9987109375,0.8405078125,0.6327734375,2.80196210189526,0.8632450508408841,0.143254764997861,0.45625479817826897
85,85,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_25600.json,False,25600,0.005,0.9,0.21578125,0.3274609375,3.962109375,1.483469418174428,0.9234375,0.8330859375,0.6726171875,2.8024138965741785,0.9150210915164014,0.1192835473498069,0.07904594238876406
86,86,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_25600.json,False,25600,0,0.9,0.2155078125,0.32765625,3.963984375,1.4876707722098201,0.92265625,0.833046875,0.6725390625,2.802222939649985,0.9149505279006306,0.11927478607726866,0.07901699843619606
87,87,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_12800.json,False,12800,0.1,0.7,0.090703125,0.878671875,3.648046875,0.6609585864324242,0.99953125,0.943984375,0.839453125,2.5808275309720754,0.7574721649615155,0.11703208390534578,0.3731623134230426
88,88,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_25600.json,False,25600,0.1,0.8,0.170703125,0.7719921875,3.87359375,0.9003853356678194,0.97875,0.78921875,0.62390625,2.778477321521322,0.8665276860779985,0.19991792005192033,0.28240324461934296
89,89,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_12800.json,False,12800,0.05,0.7,0.084140625,0.88453125,3.650234375,0.6734677548709558,0.995,0.894140625,0.795859375,2.561245933104084,0.7517888551745484,0.11329658632527412,0.3641155800098283
90,90,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_6400.json,False,6400,0.005,0.8,0.16984375,0.68359375,3.47265625,0.9022566249728465,0.95671875,0.91890625,0.88796875,2.3913639964327755,0.680238627719308,0.14134840522779318,0.15887843194306622
91,91,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_25600.json,False,25600,0.2,0.9,0.210546875,0.2601171875,3.9194921875,1.4114081160220626,0.9917578125,0.900546875,0.6737890625,2.827005228667475,0.9240564110768682,0.11498149119945537,0.0789057172394997
92,92,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_800.json,False,800,0.2,0.7,0.08125,0.50125,2.5675,0.5838405923680031,0.995,0.99375,0.99375,1.909977722463295,0.5804870995274484,0.034669513614884705,0.08878737029589258
93,93,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_25600.json,False,25600,0.05,0.8,0.16171875,0.785078125,3.88796875,0.9338588973364125,0.9429296875,0.760390625,0.6081640625,2.7634498961438974,0.8627934877842381,0.19807226086554663,0.2787756345963851
94,94,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_1600.json,False,1600,0.05,0.8,0.17875,0.47125,2.803125,0.5484553185062103,0.9975,0.996875,0.996875,2.0755475570747,0.6006998496175041,0.08571810245631203,0.0733749088397702
95,95,blosum62,hf_uniref50_bpe_51200.json,True,51200,,,0.0,0.0,4.40966796875,3.402968013329184,0.97337890625,0.5308203125,0.33314453125,3.0705190603194903,1.2895414592777286,0.0,0.0
96,96,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_3200.json,False,3200,0.005,0.8,0.184375,0.5784375,3.074375,0.7629877334124829,0.98875,0.974375,0.96625,2.245432419971252,0.6165652859613814,0.11780303518525717,0.11587119567925598
97,97,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_12800.json,False,12800,0.1,0.9,0.197890625,0.259609375,3.720546875,1.2076855019308426,0.996328125,0.955546875,0.9084375,2.6179796938758004,0.8188908545389947,0.09171632956244391,0.06227546681544335
98,98,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_51200.json,False,51200,0,0.8,0.14403452922680313,0.8261820596449427,4.1771185282112375,1.2922044850968772,0.7549167040993692,0.5018455949846689,0.3336132648477628,2.9405603444208444,0.9531713870189272,0.22642922011028369,0.33437346450735117
99,99,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_51200.json,False,51200,0.005,0.8,0.14407325692641115,0.8261319483765156,4.180525997227483,1.2978490772145057,0.7547689243805767,0.501864615264463,0.33354159751644963,2.9408167456314604,0.9536209439624721,0.2265505134317685,0.33438906238473454
100,100,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_6400.json,False,6400,0.05,0.9,0.1625,0.206875,3.43375,0.7370181896300803,0.99890625,0.985,0.9696875,2.4451244276870128,0.7022950066288135,0.0687678487773066,0.04669910413656759
101,101,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_1600.json,False,1600,0,0.9,0.128125,0.14125,2.771875,0.5037286704997316,0.9975,0.996875,0.996875,2.1204788723404193,0.584516896540125,0.03610988727257009,0.025152078378144992
102,102,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_3200.json,False,3200,0.05,0.9,0.135,0.1584375,3.0675,0.6689234491378682,0.99875,0.99625,0.9915625,2.2905333621829347,0.6198001074752644,0.05135874375859924,0.035264703720459784
